Дата,T
2018-02-26,-6.5
2018-02-26,-4.7
2018-02-26,-2.5
2018-02-26,-1.1
2018-02-26,-4.1
2018-02-26,-5.6
2018-02-26,-7.5
2018-02-26,-9.7
2018-02-27,-4.8
2018-02-27,-3.6
2018-02-27,-3.7
2018-02-27,-3.4
2018-02-27,-8.7
2018-02-27,-10.9
2018-02-27,-8.5
2018-02-27,-7.6
2018-02-28,-11.2
2018-02-28,-7.4
2018-02-28,-7.4
2018-02-28,-5.7
2018-02-28,-6
2018-02-28,-7.9
2018-02-28,-5.1
2018-02-28,-5.5
2018-03-01,-20.9
2018-03-01,-18.8
2018-03-01,-15.4
2018-03-01,-14.4
2018-03-01,-16.7
2018-03-01,-20.8
2018-03-01,-19
2018-03-01,-16.1
2018-03-02,-17
2018-03-02,-17.1
2018-03-02,-15.1
2018-03-02,-15.5
2018-03-02,-19.4
2018-03-02,-25.1
2018-03-02,-25.5
2018-03-02,-24.3
2018-03-03,-14.1
2018-03-03,-13.7
2018-03-03,-10.1
2018-03-03,-9.7
2018-03-03,-13.7
2018-03-03,-18.5
2018-03-03,-16.5
2018-03-03,-17
2018-03-04,-11.5
2018-03-04,-11.2
2018-03-04,-9.4
2018-03-04,-6.7
2018-03-04,-7
2018-03-04,-12.9
2018-03-04,-13.9
2018-03-04,-15.1
2018-03-05,-4.1
2018-03-05,-3.6
2018-03-05,-3.9
2018-03-05,-2.2
2018-03-05,-6.6
2018-03-05,-10.9
2018-03-05,-13.4
2018-03-05,-12.6
2018-03-06,-4.7
2018-03-06,0.6
2018-03-06,2
2018-03-06,3
2018-03-06,2
2018-03-06,-1
2018-03-06,-3.2
2018-03-06,-5
2018-03-07,-14.4
2018-03-07,-13.6
2018-03-07,-12.4
2018-03-07,-11
2018-03-07,-11.5
2018-03-07,-12.3
2018-03-07,-11.4
2018-03-07,-9.5
2018-03-08,-11.7
2018-03-08,-12.2
2018-03-08,-9.9
2018-03-08,-9.8
2018-03-08,-13.8
2018-03-08,-17.9
2018-03-08,-17.5
2018-03-08,-16.6
2018-03-09,-6.6
2018-03-09,-6.4
2018-03-09,-4.7
2018-03-09,-2.7
2018-03-09,-4.5
2018-03-09,-9.1
2018-03-09,-10.4
2018-03-09,-10.1
2018-03-10,-11.8
2018-03-10,-9.8
2018-03-10,-8.1
2018-03-10,-7.4
2018-03-10,-8.6
2018-03-10,-8.3
2018-03-10,-7.6
2018-03-10,-6.6
2018-03-11,-15.4
2018-03-11,-13
2018-03-11,-10.3
2018-03-11,-9.4
2018-03-11,-12
2018-03-11,-15.9
2018-03-11,-15.2
2018-03-11,-12.7
2018-03-12,-15.8
2018-03-12,-14.3
2018-03-12,-11.9
2018-03-12,-10.2
2018-03-12,-11.9
2018-03-12,-16.8
2018-03-12,-17.1
2018-03-12,-15.9
2018-03-13,-5.7
2018-03-13,-7.7
2018-03-13,-5.6
2018-03-13,-5.9
2018-03-13,-8.8
2018-03-13,-15.1
2018-03-13,-17.2
2018-03-13,-17.5
2018-03-14,-10.6
2018-03-14,-7.7
2018-03-14,-4.8
2018-03-14,-3.4
2018-03-14,-4.9
2018-03-14,-3.5
2018-03-14,-4.7
2018-03-14,-5.4
2018-03-15,-13
2018-03-15,-11
2018-03-15,-6.1
2018-03-15,-6.4
2018-03-15,-9
2018-03-15,-14.7
2018-03-15,-14.1
2018-03-15,-12.6
2018-03-16,-14.2
2018-03-16,-11.5
2018-03-16,-6.7
2018-03-16,-5.9
2018-03-16,-10.1
2018-03-16,-14.7
2018-03-16,-15.4
2018-03-16,-15.4
2018-03-17,-4.9
2018-03-17,-5.2
2018-03-17,-0.5
2018-03-17,-1.6
2018-03-17,-5.6
2018-03-17,-16.5
2018-03-17,-16.9
2018-03-17,-16.5
2018-03-18,-0.5
2018-03-18,0.6
2018-03-18,1
2018-03-18,2
2018-03-18,-0.9
2018-03-18,-5.6
2018-03-18,-5.1
2018-03-18,-4.5
2018-03-19,-12.7
2018-03-19,-10.6
2018-03-19,-5.2
2018-03-19,1
2018-03-19,2
2018-03-19,-0.9
2018-03-19,-2.1
2018-03-19,-1.8
2018-03-20,-1.5
2018-03-20,-2.8
2018-03-20,-2.7
2018-03-20,-4
2018-03-20,-7.4
2018-03-20,-13.8
2018-03-20,-16.1
2018-03-20,-15.2
2018-03-21,1
2018-03-21,1
2018-03-21,1
2018-03-21,2
2018-03-21,1
2018-03-21,1
2018-03-21,1
2018-03-21,0.2
2018-03-22,0.9
2018-03-22,4
2018-03-22,6
2018-03-22,7
2018-03-22,5
2018-03-22,2
2018-03-22,1
2018-03-22,1
2018-03-23,-2.2
2018-03-23,1
2018-03-23,0.7
2018-03-23,-0.3
2018-03-23,-0.6
2018-03-23,-0.6
2018-03-23,0.2
2018-03-23,0.5
2018-03-24,-4.3
2018-03-24,-4.5
2018-03-24,-3.3
2018-03-24,-4.1
2018-03-24,-5.7
2018-03-24,-6.1
2018-03-24,-6.5
2018-03-24,-4.4
2018-03-25,-2.2
2018-03-25,-0.6
2018-03-25,0.2
2018-03-25,-0.4
2018-03-25,-1.6
2018-03-25,-2.9
2018-03-25,-3.9
2018-03-25,-4.1
2018-03-26,-4.9
2018-03-26,-4.6
2018-03-26,-2.7
2018-03-26,-2.1
2018-03-26,-2.9
2018-03-26,-6
2018-03-26,-5
2018-03-26,-4.2
2018-03-27,-4.9
2018-03-27,-2.7
2018-03-27,-0.5
2018-03-27,-0.5
2018-03-27,-0.4
2018-03-27,-2.7
2018-03-27,-3.1
2018-03-27,-3.5
2018-03-28,-0.4
2018-03-28,-0.1
2018-03-28,0.5
2018-03-28,0
2018-03-28,-2.2
2018-03-28,-5.4
2018-03-28,-6.5
2018-03-28,-5.3
2018-03-29,-0.2
